,id,adult,softcore
85,1273739,False,False
86,1541376,False,False
87,481938,False,False
88,810499,False,False
89,12159,False,False
90,1233413,False,False
91,847353,False,False
92,204194,False,False
93,257089,False,False
94,4518,False,False
95,95431,False,False
96,857,False,False
97,972393,False,False
98,67699,False,False
99,998341,False,False
0,1551025,False,False
1,1421506,False,False
2,11809,False,False
3,270055,False,False
4,1416649,False,False
5,1565041,False,False
6,504398,False,False
7,85860,False,False
8,9822,False,False
9,662707,False,False
10,1681663,False,False
11,1683432,False,False
12,1683471,False,False
13,76757,False,False
14,189555,False,False
15,1681881,False,False
16,592148,False,False
17,1683388,True,False
18,1662596,False,False
19,1422,False,False
20,256666,False,False
21,1480790,False,False
22,584,False,False
23,294042,False,False
24,1683472,False,False
25,1681780,False,False
26,593580,False,False
27,450679,False,False
28,11817,False,False
29,1006219,False,False
30,1683473,False,False
31,1683474,False,False
32,1292695,False,False
33,1614101,False,False
34,1683475,False,False
35,1683476,False,False
36,393656,False,False
37,1496540,False,False
38,134623,False,False
39,1309396,False,False
40,76600,False,False
41,670266,False,False
42,81032,False,False
43,256216,False,False
44,46774,False,False
45,1682574,False,False
46,1668062,False,False
47,1683192,False,False
48,1002155,False,False
49,1060731,True,False
50,256662,False,False
51,514995,False,False
52,447229,False,False
53,642373,False,False
54,1648151,False,False
55,1683477,False,False
56,152601,False,False
57,1632539,False,False
58,313369,False,False
59,1544162,False,False
60,1317512,False,False
61,286838,False,False
62,410766,True,False
63,781269,False,False
64,1683183,False,False
65,934298,False,False
66,647642,False,False
67,1461519,False,False
68,1676123,False,False
69,348417,False,False
70,1016024,False,False
71,154736,False,False
72,204240,False,False
73,1184941,False,False
74,7220,False,False
75,1367903,False,False
76,1453851,False,False
77,687163,False,False
78,1545346,False,False
79,1283900,False,False
80,1683478,False,False
81,1585270,False,False
82,1453849,False,False
83,1683479,True,False
84,1370553,False,False
85,1453850,False,False
86,1683480,False,False
87,46221,False,False
88,1678313,False,False
89,1683481,False,False
90,1683482,False,False
