,adult,backdrop_path,genre_ids,id,title,original_language,original_title,overview,popularity,poster_path,release_date,softcore,video,vote_average,vote_count
11,False,/sVkjgKq8cwKm95LCyfrLldLbQIG.jpg,"[28, 18, 14]",274857,King Arthur: Legend of the Sword,en,King Arthur: Legend of the Sword,"When the child Arthur’s father is murdered, Vortigern, Arthur’s uncle, seizes the crown. Robbed of his birthright and with no idea who he truly is, Arthur comes up the hard way in the back alleys of the city. But once he pulls the sword Excalibur from the stone, his life is turned upside down and he is forced to acknowledge his true legacy... whether he likes it or not.",11.4694,/9kKXH6eJpzoFGhCbTN3FVwSQK3n.jpg,2017-05-10,False,False,6.554,6026
12,False,/5QEOy0QEpad9QsXeMxuGHPXMale.jpg,"[28, 12, 14]",76338,Thor: The Dark World,en,Thor: The Dark World,"Thor fights to restore order across the cosmos… but an ancient race led by the vengeful Malekith returns to plunge the universe back into darkness. Faced with an enemy that even Odin and Asgard cannot withstand, Thor must embark on his most perilous and personal journey yet, one that will reunite him with Jane Foster and force him to sacrifice everything to save us all.",11.3567,/wp6OxE4poJ4G7c0U2ZIXasTSMR7.jpg,2013-10-30,False,False,6.51,18261
13,False,/klJMCIblHLFwCuGjKz7tyOpekIC.jpg,"[12, 28, 53]",36557,Casino Royale,en,Casino Royale,"Le Chiffre, a banker to the world's terrorists, is scheduled to participate in a high-stakes poker game in Montenegro, where he intends to use his winnings to establish his financial grip on the terrorist market. M sends Bond—on his maiden mission as a 00 Agent—to attend this game and prevent Le Chiffre from winning. With the help of Vesper Lynd and Felix Leiter, Bond enters the most important poker game in his already dangerous career.",11.0487,/lMrxYKKhd4lqRzwUHAy5gcx9PSO.jpg,2006-11-14,False,False,7.569,11624
14,False,/mabuNsGJgRuCTuGqjFkWe1xdu19.jpg,"[28, 12, 16, 10751]",260513,Incredibles 2,en,Incredibles 2,"Elastigirl springs into action to save the day, while Mr. Incredible faces his greatest challenge yet – taking care of the problems of his three children.",11.3165,/9lFKBtaVIhP7E2Pk0IY1CwTKTMZ.jpg,2018-06-14,False,False,7.451,13625
15,False,/rakS8RAhKOMIplBi4RbluQg4Xqn.jpg,"[27, 18, 878]",1284460,Alpha,fr,Alpha,"Alpha, a troubled 13-year-old lives with her single mom. Their world collapses the day she returns from school with a tattoo on her arm.",10.7994,/PvdD2gTqSZfFWclP9ee4bqCn0B.jpg,2025-08-20,False,False,6.4,110
16,False,/1Xdsq7U7bvJJd2X7Jg4qNaKVkYO.jpg,"[28, 53, 80, 18]",1426964,State of Fear,pt,Salve Geral: Irmandade,"As São Paulo erupts in an unprecedented wave of violence, a lawyer with underworld ties must strike a deal with the police to rescue her kidnapped niece.",10.9555,/3Eaqedg8MAlnP51GYY8MCSIdTnV.jpg,2026-02-10,False,False,5.701,67
17,False,/cJvUJEEQ86LSjl4gFLkYpdCJC96.jpg,"[10752, 28]",1241436,Warfare,en,Warfare,"A platoon of Navy SEALs embarks on a dangerous mission in Ramadi, Iraq, with the chaos and brotherhood of war retold through their memories of the event.",10.8575,/l39TlELomwysfsr37vrvCV6rmaQ.jpg,2025-04-09,False,False,7.072,1410
18,False,/vFm4pF0BgaWPj0i2zEiZO6TqEQ0.jpg,"[53, 28]",260346,Taken 3,en,Taken 3,"Ex-government operative Bryan Mills finds his life is shattered when he's falsely accused of a murder that hits close to home. As he's pursued by a savvy police inspector, Mills employs his particular set of skills to track the real killer and exact his unique brand of justice.",10.9535,/vzvMXMypMq7ieDofKThsxjHj9hn.jpg,2014-12-16,False,False,6.26,6109
19,False,,[],320671,Red Boxing Gloves / Orange Kitchen Gloves,en,Red Boxing Gloves / Orange Kitchen Gloves,"Red Boxing Gloves / Orange Kitchen Gloves was shot in 1980 in Polavision, an instant movie format that the videocassette made obsolete. The work is in the form of a pendant pair, a convention that arose in seventeenth-century Holland. The pendant pair consists of two paintings with subjects that are complements of each other. In the classic case one painting shows a husband and the other his wife. Together the two figures make a larger whole. The two pairs of gloves express this same relation in figurative if conventional terms. A few years ago I transferred the films to DVDs; far simpler to show them in that form than as films.",9.1922,,1980-01-01,False,False,0.0,0
0,False,/4yWayBvwl9gHXaWrDrAslxjL7mh.jpg,"[14, 16, 10751]",408,Snow White and the Seven Dwarfs,en,Snow White and the Seven Dwarfs,"A beautiful girl, Snow White, takes refuge in the forest in the house of seven dwarfs to hide from her stepmother, the wicked Queen. The Queen is jealous because she wants to be known as ""the fairest in the land,"" and Snow White's beauty surpasses her own.",11.0621,/3VAHfuNb6Z7UiW12iYKANSPBl8m.jpg,1938-01-14,False,False,7.123,7960
1,False,/p2ssbuL7NZSpBGIDjthP9S39d7m.jpg,"[18, 10749]",17422,Summer Palace,zh,颐和园,"Yu Hong leaves her home village and starts university in Beijing, where she develops a consuming and compulsive relationship with another student. The student riots from 1989 then ensue and take a toll on their lives.",9.6484,/kr0UdRRdjZigVfdYoik9kPy97hk.jpg,2006-05-18,False,False,7.3,112
2,False,/c6yfABGVKuB5cjoOwdX4AJMlzUz.jpg,"[35, 14]",620,Ghostbusters,en,Ghostbusters,"After losing their university jobs, three parapsychologists start a ghost-catching business in New York City and uncover a supernatural threat that could destroy the world.",10.5464,/7E8nLijS9AwwUEPu2oFYOVKhdFA.jpg,1984-06-08,False,False,7.494,9697
3,False,/hXsy4XCCHrUk81XoRhcooyWejao.jpg,"[35, 80]",115,The Big Lebowski,en,The Big Lebowski,"Jeffrey 'The Dude' Lebowski, a Los Angeles slacker who only wants to bowl and drink White Russians, is mistaken for another Jeffrey Lebowski, a wheelchair-bound millionaire, and finds himself dragged into a strange series of events involving nihilists, adult film producers, ferrets, errant toes, and large sums of money.",10.8682,/3bv6WAp6BSxxYvB5ozKFUYuRA8C.jpg,1998-03-06,False,False,7.839,12107
4,False,/nBRtRfvmRT3ZCUMZHUl575eQAhM.jpg,"[53, 80]",938150,Wardriver,en,Wardriver,"He’s a Wardriver: a hacker who steals from banks, not people—until he’s noticed. Now the money turns violent, and the woman caught in it could save him or kill them both.",8.8682,/ipTXhWCJgeg5RN0CpmFZYDzOzQi.jpg,2026-03-04,False,False,6.472,18
5,False,/bHfGHipZ32Oec94FDJO4mWs3aZ5.jpg,[27],1034541,Terrifier 3,en,Terrifier 3,"Five years after surviving Art the Clown's Halloween massacre, Sienna and Jonathan are still struggling to rebuild their shattered lives. As the holiday season approaches, they try to embrace the Christmas spirit and leave the horrors of the past behind. But just when they think they're safe, Art returns, determined to turn their holiday cheer into a new nightmare. The festive season quickly unravels as Art unleashes his twisted brand of terror, proving that no holiday is safe.",11.1576,/ju10W5gl3PPK3b7TjEmVOZap51I.jpg,2024-10-09,False,False,6.787,1924
6,False,/vXzqV2RtJlT9WhNEM4NYWCEC6ZI.jpg,"[18, 10749]",142,Brokeback Mountain,en,Brokeback Mountain,"In 1960s Wyoming, two men develop a strong emotional and sexual relationship that endures as a lifelong connection complicating their lives as they get married and start families of their own.",11.7754,/aByfQOQBNa4CMFwIgq3QrqY2ZHh.jpg,2005-10-22,False,False,7.784,7510
7,False,/hExTiLbfB93HwEwkeQxb3q4nHtQ.jpg,"[18, 10749]",1643,Last Tango in Paris,it,Ultimo tango a Parigi,A recently widowed American begins an anonymous sexual relationship with a young Parisian woman.,11.6369,/dNgdUdNOWfHsZI3lDu6Epig7H2P.jpg,1972-12-15,False,False,6.905,1336
8,False,/6Ybbh8TrO8bkEfQXDedekLwVDfA.jpg,"[16, 35, 10751, 12]",8355,Ice Age: Dawn of the Dinosaurs,en,Ice Age: Dawn of the Dinosaurs,"Times are changing for Manny the moody mammoth, Sid the motor mouthed sloth and Diego the crafty saber-toothed tiger. Life heats up for our heroes when they meet some new and none-too-friendly neighbors – the mighty dinosaurs.",12.303,/cXOLaxcNjNAYmEx1trZxOTKhK3Q.jpg,2009-06-26,False,False,6.763,8822
9,False,/A63giQFJP4ABqNk4sLzegVeqVdl.jpg,"[18, 10752, 36]",14574,The Boy in the Striped Pyjamas,en,The Boy in the Striped Pyjamas,"When his family moves from their home in Berlin to a strange new house in Poland, young Bruno befriends Shmuel, a boy who lives on the other side of the fence where everyone seems to be wearing striped pajamas. Unaware of Shmuel's fate as a Jewish prisoner or the role his own Nazi father plays in his imprisonment, Bruno embarks on a dangerous journey inside the camp's walls.",9.0556,/2C8QCXdMlojTxZjfBlINr4FWcb6.jpg,2008-05-07,False,False,7.816,7619
10,False,/dF2c20sRDgySZLaLS2OUerL07sz.jpg,"[12, 14, 18, 10749]",18239,The Twilight Saga: New Moon,en,The Twilight Saga: New Moon,"Forks, Washington resident Bella Swan is reeling from the departure of her vampire love, Edward Cullen, and finds comfort in her friendship with Jacob Black, a werewolf. But before she knows it, she's thrust into a centuries-old conflict, and her desire to be with Edward at any cost leads her to take greater and greater risks.",10.6876,/k2qTooPlHffgNABNWxeJdGMglPK.jpg,2009-11-18,False,False,5.989,9708
11,False,/1GlZNA9L5trst3ItgRiyQTUH1uf.jpg,[18],37799,The Social Network,en,The Social Network,"In 2003, Harvard undergrad and computer programmer Mark Zuckerberg begins work on a new concept that eventually turns into the global social network known as Facebook. Six years later, Mark is one of the youngest billionaires ever, but his unprecedented success leads to both personal and legal complications when he ends up on the receiving end of two lawsuits, one involving his former friend.",12.672,/n0ybibhJtQ5icDqTp8eRytcIHJx.jpg,2010-10-01,False,False,7.372,13091
12,False,/1m1c5gIWWkb1FEC9lzsoXHhhs7b.jpg,"[28, 18, 36, 10752]",197,Braveheart,en,Braveheart,"Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.",10.8477,/or1gBugydmjToAEq7OZY0owwFk.jpg,1995-05-24,False,False,7.943,11040
13,False,/mPtPJzBkwksUoMEKpkZqxBrlKpZ.jpg,[27],1422096,Good Boy,en,Good Boy,"A loyal dog moves to a rural family home with his owner Todd, only to discover supernatural forces lurking in the shadows. As dark entities threaten his human companion, the brave pup must fight to protect the one he loves most.",10.3462,/daInKxjoRNLFWIus64fHAy91V0k.jpg,2025-10-01,False,False,6.699,585
14,False,/wZS4xSfPtk1NPQnx9zsT5R2WhCu.jpg,"[28, 16, 12, 35, 10751, 14, 878]",438148,Minions: The Rise of Gru,en,Minions: The Rise of Gru,"A fanboy of a supervillain supergroup known as the Vicious 6, Gru hatches a plan to become evil enough to join them, with the backup of his followers, the Minions.",10.9476,/wKiOkZTN9lUUUNZLmtnwubZYONg.jpg,2022-06-29,False,False,7.3,3995
15,False,/w57nxiBIODAYHLRs1xmrCY9zEFe.jpg,"[28, 18, 14]",1083637,Kantara - A Legend: Chapter 1,kn,ಕಾಂತಾರ: ಅಧ್ಯಾಯ - ೧,"During the Kadamba reign, King Vijayendra, the ruler of the fictional feudatory land of Bangra, meets his final fate while venturing into the mystical forest of Kantara. Witnessing this, his son Rajashekara seals the borders of their realm. Later, Prince Kulashekara reopens them through a brutal massacre. The protagonist, Berme, in search of prosperity, crosses the divide and ignites a conflict of faith, power, and destiny between the Kingdom and Nature.",10.6374,/3CP7crYcSBV0k8JP6fl0XaMPpDY.jpg,2025-10-01,False,False,7.167,78
16,False,/wUlvM4v5FUjM2omyld9ULVHONZA.jpg,"[18, 35, 10751]",1542995,Bonolota Express,bn,বনলতা এক্সপ্রেস,"On a foggy winter journey, the Bonolota Express carries strangers burdened by secrets whose lives begin to collide within the train’s confined corridors. As the night unfolds, personal and political crises erupt, exposing hidden grief, moral decay, and moments of unexpected compassion amid chaos and revolt. By dawn, the train moves on, leaving its passengers irrevocably changed by a single journey where illusions collapse and human truths emerge.",10.4859,/wved9mxrbbae8eW0X5ydBfOWsba.jpg,2026-03-21,False,False,9.2,4
